지역구,읍면동,등록인구,65세이상 고령자,수급권자수,미성년수,직장인수,5분이내도보접근의료시설수평균,등록인구비율,병원 및 요양병원수,병원 및 요양병원 의사수,의원수,의원 의사수,치과수,치과 의사수,약국수,약사 수,일일환자수,월 요양급여비용,환자건수,총진료비,건강보험료 건수 합계,건강보험료 금액 합계,위도,경도,normalized_의료시설부족메트릭
기흥구,구갈동,32852.555555555555,2745.0,785.4615384615385,6454.0,25049.653336095213,10.168108776266996,0.0566305025288417,21.519590960959857,179.2921710063129,14.327517139796957,32.56253895408399,14.497408647383482,18.1783913117582,14.497408647383482,14.497408647383482,3.528080307546839,766857.0231405903,620880.0104669696,42402180.906297855,620880.0104669696,31564397.97513139,37.27748016673812,127.12297958356918,0.7194189938059942
기흥구,구성동,40265.88888888889,5490.555555555556,1054.0,6891.0,30702.22516573225,8.662737987307343,0.0694094411831129,26.375587649582904,219.75029078573544,17.560588619327564,39.91042868028992,17.768816942876903,22.28043061977924,17.768816942876903,17.768816942876903,4.324208185707934,939901.9091597404,760984.4985276185,51970432.01501659,760984.4985276185,38687052.50530752,36.37118537622727,127.36773693975536,0.6310943054112792
기흥구,동백동,77224.875,5931.875,2.8461538461538463,0.0,58882.97926783836,0.0,0.1331185171144909,50.58503650350656,421.4532251844783,33.678984829966204,76.54314734083229,34.07834038130968,42.73104399375159,34.07834038130968,34.07834038130968,8.293283616232785,1802612.8181948904,1459471.8854436956,99672706.27330244,1459471.8854436956,74196866.78431231,37.285599494369954,127.16319667789716,0.19075380204142933
기흥구,마북동,32180.33333333333,4876.777777777777,372.46153846153845,4791.0,24537.092491231542,9.31633714880333,0.0554717408553054,21.07926152501607,175.62353154789704,14.034350436392277,31.89625099180063,14.200765658958192,17.806428814553048,14.200765658958192,14.200765658958192,3.455889455285529,751165.7527506643,608175.6916305348,41534556.21793232,608175.6916305348,30918533.767883703,37.30668813690457,127.12750404091572,0.7274280520312344
기흥구,보라동,33866.0,4639.0,665.0,6065.0,25822.391760227696,5.639622641509434,0.0583774554584821,22.18343307422321,184.82302398155443,14.769496230995978,33.56703688862722,14.944628597371423,18.73916320217276,14.944628597371423,14.944628597371423,3.636915475063436,790513.2342524108,640033.0835425269,43710214.75465853,640033.0835425269,32538104.98906629,37.255478122583206,127.11636004076874,0.7073445111493966
기흥구,보정동,36267.55555555556,4920.111111111111,246.7692307692308,6666.0,27653.54714880346,12.802631578947368,0.0625172033612611,23.756537277279243,197.9294658417529,15.816852450399075,35.94739193272517,16.00440406048286,20.06802227896484,16.00440406048286,16.00440406048286,3.8948217694065694,846571.2703198256,685420.0500434692,46809857.732234165,685420.0500434692,34845494.90236406,37.30935499781423,127.10712984007574,0.6787316542104971
기흥구,상갈동,43248.66666666666,4807.555555555556,411.9230769230769,1687.0,32976.55506331328,9.40625,0.0745510869890767,28.32941305584917,236.02874140741704,18.86142500823642,42.866875018719135,19.08507826920365,23.93089892349364,19.08507826920365,19.08507826920365,4.644532719419481,1009527.0585180148,817355.9760754018,55820247.67768975,817355.9760754018,41552874.76044207,37.2655092668243,127.11087935217712,0.5955565916829201
기흥구,상하동,24928.0,2656.6666666666665,598.4615384615385,3683.0,19007.28110195937,7.0,0.0429703304101175,16.328725555844684,136.0440660784323,10.871493593759752,24.707939985817617,11.000404584990104,13.793476061647748,11.000404584990104,11.000404584990104,2.677051584550326,581878.9908298617,471113.9404283975,32174104.807303127,471113.9404283975,23950566.38420376,37.26161023859535,127.14347314399907,0.8138345378857222
기흥구,신갈동,37351.0,4086.0,1110.2307692307693,5706.0,28479.65967744241,9.434757167934464,0.0643848207296334,24.466231877260704,203.84234243001944,16.28935964459726,37.02127191953922,16.48251410678616,20.667527454212333,16.48251410678616,16.48251410678616,4.0111743314561625,871861.4484309277,705896.0521879443,48208239.27541636,705896.0521879443,35886457.197384246,37.28308055791414,127.10139097083017,0.6658231704494529
기흥구,영덕동,44323.0,3418.625,0.0,0.0,33795.720486286315,0.0,0.0764029988273283,29.033139554384785,241.8918942873217,19.32995870331408,43.93172432571382,19.559167699796067,24.525362623572413,19.559167699796067,19.559167699796067,4.759906826942558,1034604.5615593692,837659.7874521767,57206869.67964122,837659.7874521767,42585083.19347975,37.27312180690861,127.08250222479596,0.5827566604465817
수지구,동천동,38852.444444444445,3864.0,188.69230769230768,10341.0,29624.49185870568,2.96225513616818,0.1100315457413249,34.54990536277603,103.09955835962144,33.77968454258675,58.09665615141956,25.74738170347004,36.53047318611988,25.74738170347004,25.74738170347004,4.269223974763407,131903.72643533125,1077125.6489589906,69229978.59432177,1077125.6489589906,51386045.30776025,35.93933141781652,128.5592965313591,0.38752013778878347
수지구,성복동,40027.333333333336,6395.0,165.69230769230768,11280.0,30520.32960640625,9.44946025515211,0.1133588741081051,35.59468646994502,106.21726503929452,34.80117435118828,59.85348552907952,26.525976541296604,37.63514620389091,26.525976541296604,26.525976541296604,4.398324315394479,135892.4644621884,1109697.6782095237,71323477.05475429,1109697.6782095237,52939947.373365335,37.31931844911329,127.06055832785464,0.36564728730394813
수지구,신봉동,36281.55555555556,4562.777777777777,196.23076923076923,8436.0,27664.221969704755,5.788602941176471,0.1027506942423122,32.26371799208604,96.27740050504656,31.54446313238985,54.25236655994086,24.04366245270106,34.11323048844766,24.04366245270106,24.04366245270106,3.9867269366017135,123175.5799944933,1005851.6171073896,64648990.56921421,1005851.6171073896,47985800.746196985,36.40828468193612,127.33358544730228,0.43538225378255346
처인구,동부동,14587.444444444443,1734.0,466.61538461538464,1415.0,11122.739775143256,1.5189469485440763,0.0606942762819988,8.557892955761835,78.17422785121448,7.586784535249853,12.320938085245762,7.829561640377848,10.4394155205038,7.829561640377848,7.829561640377848,2.421701623651753,142193.0331165598,411434.5421432425,29873601.0332816,411434.5421432425,22280417.43978906,35.55228231778114,129.42785708475463,0.9188520887609093
처인구,모현읍,26602.0,3412.333333333333,752.6153846153846,3638.0,20283.684686871115,0.9385949069893444,0.1106834815243214,15.60637089492933,142.56032420332608,13.835435190540188,22.468746749437265,14.278169116637471,19.037558822183296,14.278169116637471,14.278169116637471,4.416270912820427,259306.49342814228,750301.516607515,54478187.5752071,750301.516607515,40631082.91452632,37.32644069456207,127.2181659389996,0.7607311583697949
처인구,백암면,9520.444444444443,2184.333333333333,286.2307692307692,555.0,7259.217096082437,0.9761202039173598,0.0396119065021425,5.585278816802098,51.02013557475959,4.951488312767817,8.041217019934935,5.109935938776387,6.813247918368517,5.109935938776387,5.109935938776387,1.5805150694354873,92801.78425555698,268521.31063244335,19496900.91887012,268521.31063244335,14541236.28318787,37.14375985720065,127.37980443461409,0.9855377643638908
처인구,양지면,18048.666666666668,2357.4444444444443,476.2307692307692,2780.0,13761.877440985934,0.9156281576288312,0.0750954538583053,10.588458994021046,96.72294456949722,9.38693173228816,15.244377133235975,9.687313547721384,12.91641806362851,9.687313547721384,9.687313547721384,2.9963086089463813,175931.7519128912,509057.2879010415,36961831.74757743,509057.2879010415,27566982.62649353,37.2419303346684,127.28864710009708,0.8732997022795709
처인구,역삼동,34115.555555555555,2910.222222222222,2.3076923076923075,0.0,26012.67467883329,4.197683397683398,0.1419452846787947,20.01428513971005,182.8255266662876,17.743160584849335,28.814892789795323,18.310941723564515,24.41458896475269,18.310941723564515,18.310941723564515,5.663616858683908,332545.8643133632,962219.1216164676,69865184.37666169,962219.1216164676,52107058.35850338,37.50007839967135,127.0385490769512,0.6618469017282405
처인구,원삼면,8421.555555555555,1860.2222222222224,127.15384615384616,898.0,6421.328376131742,0.8210640608034745,0.0350397371904135,4.9406029438483055,45.131181501252605,4.379967148801689,7.113066649653943,4.520126097563344,6.026834796751124,4.520126097563344,4.520126097563344,1.398085513897499,82090.22029627101,237527.47558558668,17246488.355408728,237527.47558558668,12862826.932075316,37.1632334109488,127.31333400033316,1.0
처인구,이동읍,21631.777777777777,3018.333333333333,557.0,2734.0,16493.953825310502,0.8748637453673425,0.0900037770094314,12.69053255832983,115.92486478814769,11.250472126178927,18.270766732914577,11.610487234216654,15.480649645622204,11.610487234216654,11.610487234216654,3.591150702676313,210858.59868327068,610117.8736028648,44299678.49646547,610117.8736028648,33039717.18207265,37.16469261436271,127.21116128870032,0.8261431628667044
처인구,중앙동,25960.777777777777,2821.4444444444443,718.3846153846154,3054.0,19794.76094543173,3.934718100890208,0.1080155352050102,15.230190463906444,139.12400934405318,13.50194190062628,21.92715364661708,13.934004041446322,18.57867205526176,13.934004041446322,13.934004041446322,4.309819854679908,253056.09548991788,732216.034094329,53165029.74874242,732216.034094329,39651699.66222394,37.43994646980808,127.15221017967784,0.7691701433906226
처인구,포곡읍,34343.0,3633.1111111111113,923.6923076923076,4950.0,26186.09815807889,1.8848907309721168,0.1428916173968037,20.14771805294933,184.0444032070832,17.861452174600466,29.00699833155116,18.43301864418768,24.57735819225024,18.43301864418768,18.43301864418768,5.701375534132469,334762.90894679684,968634.1246843052,70330967.4421223,968634.1246843052,52454450.06140807,37.2904963001999,127.21756301886006,0.6588535552826269
