,지역구,읍면동,등록인구,65세이상 고령자,수급권자수,미성년수,직장인수
0,기흥구,구갈동,32852.555555555555,2745.0,785.4615384615385,6454.0,25049.653336095213
1,기흥구,구성동,40265.88888888889,5490.555555555556,1054.0,6891.0,30702.225165732252
2,기흥구,기흥동,21909.333333333332,2544.3333333333335,527.1538461538462,3220.0,16705.586385718674
3,기흥구,동백1동,33192.0,3112.0,1071.6153846153845,7369.0,25308.475382551165
4,기흥구,동백2동,27329.0,2654.0,375.46153846153845,5986.0,20838.012886531116
5,기흥구,동백3동,23614.0,3523.0,188.6153846153846,6128.0,18005.372911652303
6,기흥구,동백동,77224.875,5931.875,2.8461538461538463,,58882.97926783836
7,기흥구,마북동,32180.333333333332,4876.777777777777,372.46153846153845,4791.0,24537.092491231542
8,기흥구,보라동,33866.0,4639.0,665.0,6065.0,25822.391760227696
9,기흥구,보정동,36267.555555555555,4920.111111111111,246.76923076923077,6666.0,27653.54714880346
10,기흥구,상갈동,43248.666666666664,4807.555555555556,411.9230769230769,1687.0,32976.55506331328
11,기흥구,상하동,24928.0,2656.6666666666665,598.4615384615385,3683.0,19007.281101959372
12,기흥구,서농동,22911.0,1283.5555555555557,581.0769230769231,4944.0,17469.34440496595
13,기흥구,신갈동,37351.0,4086.0,1110.2307692307693,5706.0,28479.65967744241
14,기흥구,영덕1동,30943.0,2708.0,797.3076923076923,5737.0,23593.64165347917
15,기흥구,영덕2동,17715.0,2130.0,93.23076923076923,3238.0,13507.460876171785
16,기흥구,영덕동,44323.0,3418.625,0.0,,33795.720486286315
17,수지구,동천동,38852.444444444445,3864.0,188.69230769230768,10341.0,29624.49185870568
18,수지구,상현1동,47327.666666666664,5026.111111111111,90.0,4219.0,36086.740381625714
19,수지구,상현2동,33159.22222222222,4229.888888888889,143.30769230769232,6616.0,25283.482746314006
20,수지구,성복동,40027.333333333336,6395.0,165.69230769230768,11280.0,30520.329606406252
21,수지구,신봉동,36281.555555555555,4562.777777777777,196.23076923076923,8436.0,27664.221969704755
22,수지구,죽전1동,59667.88888888889,6033.666666666667,239.15384615384616,5070.0,45496.00196050984
23,수지구,죽전2동,19515.444444444445,1962.7777777777778,105.6923076923077,2556.0,14880.276732398383
24,수지구,풍덕천1동,36823.22222222222,3803.4444444444443,472.15384615384613,5338.0,28077.235873623824
25,수지구,풍덕천2동,41448.0,3436.222222222222,223.15384615384616,9304.0,31603.569765485077
26,처인구,남사면,12968.111111111111,2183.3333333333335,,,9888.018824227036
27,처인구,동부동,14587.444444444445,1734.0,466.61538461538464,1415.0,11122.739775143256
28,처인구,모현읍,26602.0,3412.3333333333335,752.6153846153846,3638.0,20283.684686871115
29,처인구,백암면,9520.444444444445,2184.3333333333335,286.2307692307692,555.0,7259.217096082437
30,처인구,양지면,18048.666666666668,2357.4444444444443,476.2307692307692,2780.0,13761.877440985934
31,처인구,역삼동,34115.555555555555,2910.222222222222,2.3076923076923075,,26012.674678833286
32,처인구,원삼면,8421.555555555555,1860.2222222222222,127.15384615384616,898.0,6421.328376131742
33,처인구,유림동,34143.666666666664,3070.1111111111113,918.4615384615385,6636.0,26034.109041436674
34,처인구,이동읍,21631.777777777777,3018.3333333333335,557.0,2734.0,16493.953825310502
35,처인구,중앙동,25960.777777777777,2821.4444444444443,718.3846153846154,3054.0,19794.760945431735
36,처인구,포곡읍,34343.0,3633.1111111111113,923.6923076923077,4950.0,26186.098158078894
